company_number,name,incorporation_date,accounts_type,sic_codes
SC569101,THOMAS LAURIE NATURALS LIMITED,2017-06-20,micro-entity,20420
01480297,SUREFIL BEAUTY PRODUCTS LIMITED,1980-02-20,total-exemption-full,20420
04767760,SPIEZIA ORGANICS LIMITED,2003-05-16,micro-entity,20420
SC305568,THE HIGHLAND SOAP CO. LIMITED,2006-07-17,total-exemption-full,20411;20420;46450;47750
06308025,ELEMENTAL BEAUTY LIMITED,2007-07-10,total-exemption-full,20420
09874299,LITTLE RAINBOW ELEPHANT BATHROOM LTD,2015-11-16,micro-entity,20420
07975299,NEW DAWN ORGANIC SKIN AND HAIR CARE LTD,2012-03-05,micro-entity,20420;47910
10941882,FORTE ORGANICS LTD,2017-09-01,total-exemption-full,20420;46450;47910
03399945,IN LINE HEALTH AND BEAUTY LIMITED,1997-07-08,total-exemption-full,20420
10065144,RAW COSMETICS LIMITED,2016-03-16,total-exemption-full,20420
11014989,PROJECT COSMETICS LIMITED,2017-10-16,micro-entity,20420;46450;47750
03095876,HEAVEN HEALTH & BEAUTY LIMITED,1995-08-29,micro-entity,20420;47750
01217210,A. & E. CONNOCK (PERFUMERY & COSMETICS) LIMITED,1975-06-24,total-exemption-full,20420
07543855,WILDE BEAUTY LIMITED,2011-02-25,total-exemption-full,20420;47910
07532195,SHINSO SKIN CARE LIMITED,2011-02-16,micro-entity,20420
07579229,NATURAL SKINCARE LONDON LIMITED,2011-03-25,unaudited-abridged,13990;20420;46450;47910
10508638,HAYCH COSMETICS LIMITED,2016-12-02,micro-entity,20420;46450;47750
09896199,AURA ORGANICS LIMITED,2015-12-01,micro-entity,20420
06478064,MAC PROFESSIONAL HAIRCARE LIMITED,2008-01-21,total-exemption-full,20420;46900;62090;96020
03274555,SOLAR COSMETICS INTERNATIONAL LIMITED,1996-11-06,micro-entity,20420
11293240,SKINCARE LABORATORIES LTD,2018-04-05,micro-entity,20420
01112024,COSMETICS A LA CARTE LIMITED,1973-05-07,total-exemption-full,20420;47750
04772603,PENNY PRICE AROMATHERAPY LTD,2003-05-21,total-exemption-full,20420;46450;47750;85410
02329621,AQUA NATURAL LIMITED,1988-12-19,micro-entity,20420
10089377,LIP SYNC BEAUTY LIMITED,2016-03-30,dormant,20420
03343104,SABEL COSMETICS LIMITED,1997-04-01,total-exemption-full,20420
09505635,THE NATURAL DEODORANT CO LIMITED,2015-03-24,micro-entity,20420;47750
08876648,GOOD SKIN CARE COMPANY LIMITED,2014-02-05,dormant,20420;20530;46450
03625891,MAD BEAUTY LIMITED,1998-09-03,total-exemption-full,20420;46450
10928558,NURTURE BEAUTY CO LTD,2017-08-23,micro-entity,20420;70229
